x,y,MissionID,Latitude,Longitude,IceThickness,SurfaceElevation,WaterColumnThickness,BedElevation
-316007.544874,-1165778.4288,1,-78.91666,-164.8333,369,48,104,-425
-232601.272638,-1158791.92668,1,-79.15334,-168.65,384,59,244,-539
-174949.0027,-1172949.67323,1,-79.11667,-171.5167,328,49,416,-695
-125704.556827,-1192654.91505,1,-78.995,-173.9833,344,51,243,-536
14195.093007,-1190224.44093,1,-79.07667,179.3167,369,51,510,-828
56590.9958264,-1192621.54964,1,-79.04333,177.2833,375,53,407,-729
108047.340104,-1194934.3467,1,-78.99,174.8333,369,51,184,-502
161048.314334,-1201673.0642,1,-78.875,172.3667,384,56,543,-871
196652.3187,-1154503.20227,1,-79.25166,170.3333,363,62,604,-905
185174.994996,-1083318.33987,1,-79.91,170.3,354,60,268,-562
153778.289775,-944234.109326,1,-81.21167,170.75,353,57,446,-742
129206.876713,-876755.483369,1,-81.85667,171.6167,385,59,369,-695
-188677.153362,-886385.758935,1,-81.67333,-167.9833,384,64,196,-516
-196604.583459,-941093.060212,1,-81.16833,-168.2,360,56,94,-398
-205356.284531,-994538.49758,1,-80.67333,-168.3333,415,63,97,-449
-217939.595643,-1047785.01066,1,-80.17333,-168.25,459,69,169,-559
-223854.404835,-1103562.16032,1,-79.66333,-168.5333,394,64,211,-541
-233268.66331,-1163874.805,1,-79.10667,-168.6667,384,59,244,-569
-285081.373002,-1202856.01326,1,-78.65833,-166.6667,337,55,235,-517
193214.58563,-1179891.14997,1,-79.02834,170.7,373,63,560,-870
60586.5105814,-875762.262161,19,-81.93333,176.0425,395,-9999,257,-594
97949.8147076,-880063.711104,19,-81.86333,173.6492,357,-9999,373,-676
-52178.3995608,-928047.81716,19,-81.46028,-176.782,395,-9999,296,-633
1738.57267925,-926630.325681,19,-81.48666,179.8925,391,-9999,122,-455
55246.5013351,-929055.329759,19,-81.44945,176.5969,380,-9999,229,-553
114081.69144,-929120.816173,19,-81.4,173.0,328,-9999,396,-674
162724.979104,-931335.545662,19,-81.31445,170.0892,362,-9999,441,-749
2869.6933655,-985145.915426,19,-80.95111,179.8331,368,-9999,200,-513
53305.571787,-978628.880523,19,-80.9975,176.8822,345,-9999,359,-652
166486.134683,-986534.437021,19,-80.81084,170.4211,393,-9999,330,-665
-110082.44701,-1030067.38466,19,-80.48666,-173.9,425,-9999,168,-531
6350.62418758,-1038708.04885,19,-80.46111,179.6497,371,-9999,265,-581
109569.473139,-1036964.68968,19,-80.42445,173.9683,366,-9999,418,-729
164711.226817,-1034139.18119,19,-80.38389,170.9503,328,-9999,296,-574
-53063.6337738,-1090504.00959,19,-79.97611,-177.2142,370,-9999,293,-608
55181.8872311,-1089607.60434,19,-79.98333,177.1008,345,-9999,458,-751
111072.987479,-1086832.67559,19,-79.96972,174.1647,379,-9999,329,-652
-215319.377926,-1146398.71479,19,-79.29444,-169.3625,404,-9999,225,-569
-104139.579514,-1146385.03879,19,-79.43445,-174.8094,383,-9999,241,-567
-53929.3314319,-1145821.23938,19,-79.47111,-177.3053,340,-9999,308,-596
1284.08696012,-1142433.7323,19,-79.51361,179.9356,372,-9999,405,-722
50622.5732882,-1145545.57756,19,-79.475,177.4697,319,-9999,463,-733
160440.517998,-1140423.75666,19,-79.42944,171.9919,235,-9999,353,-549
-266252.948463,-1190249.4507,19,-78.80889,-167.3908,379,-9999,223,-546
-214666.784626,-1203380.5947,19,-78.78416,-169.8856,345,-9999,281,-574
-107920.853819,-1198339.19707,19,-78.95917,-174.8539,365,-9999,270,-580
-47165.2930348,-1198943.31266,19,-78.98944,-177.7472,341,-9999,344,-633
108350.89109,-1200042.87136,19,-78.94334,174.8408,332,-9999,201,-482
176771.945507,-1231783.09964,19,-78.58334,171.8333,395,-9999,582,-909
-103524.385211,-1258223.40217,19,-78.41861,-175.2964,293,-9999,322,-562
-50655.0112979,-1254809.59006,19,-78.47916,-177.6883,315,-9999,375,-637
54974.9648577,-1254260.95528,19,-78.4825,177.4903,327,-9999,351,-628
111676.752545,-1254404.23587,19,-78.44695,174.9125,331,-9999,501,-781
53450.2761822,-1309254.66333,19,-77.9825,177.6622,212,-9999,537,-712
110172.963136,-1311246.33837,19,-77.93222,175.1972,244,-9999,604,-808
164296.915911,-1308551.28216,19,-77.90528,172.8436,328,-9999,559,-817
139054.952897,-1338932.95164,19,-77.65667,174.0708,266,-9999,513,-736
-307633.915847,-1090787.58661,25,-79.59666,-164.25,344,60,-9999,-354
-262967.096494,-874667.719037,19,-81.60833,-163.2667,588,-9999,53,-473
-155688.15737,-867667.659747,19,-81.89972,-169.8275,421,-9999,199,-559
-48965.9169199,-866404.627211,19,-82.02556,-176.7653,345,-9999,309,-601
-213453.838682,-924430.291568,19,-81.28416,-166.9981,370,-9999,170,-485
-96128.8788259,-923034.694646,19,-81.47389,-174.0544,370,-9999,282,-597
-350755.99146,-963694.166276,19,-80.58167,-160.0,615,-9999,71,-604
-274732.94907,-980677.960985,19,-80.64667,-164.35,480,-9999,202,-615
-187127.74413,-962141.885086,19,-80.99667,-168.9939,370,-9999,64,-379
-327660.621315,-1038151.52733,19,-80.005,-162.4833,606,-9999,176,-701
-272820.884616,-1033155.08039,19,-80.18833,-165.2078,522,-9999,215,-665
-214445.845201,-1033176.72312,19,-80.31055,-168.2742,370,-9999,197,-512
-177476.922547,-1033752.06325,19,-80.36833,-170.2583,387,-9999,54,-384
-272903.870412,-1089832.26132,19,-79.68667,-165.9417,463,-9999,186,-584
-220231.562197,-1089772.51318,19,-79.79333,-168.575,412,-9999,190,-542
1601.11104349,-1183701.28227,19,-79.13695,179.9225,328,-9999,445,-730
158258.721389,-945463.400365,19,-81.19389,170.4975,356,-9999,425,-727
175955.794953,-1006449.14236,1,-80.61667,170.0833,360,57,278,-581
116392.197891,-855233.696779,1,-82.06834,172.25,380,58,373,-695
-239323.540072,-1206825.95821,1,-78.71167,-168.7833,350,54,273,-569
-103320.898599,-870532.630314,19,-81.94444,-173.2314,362,-9999,414,-722
-328408.332503,-925255.872778,19,-80.98167,-160.4583,539,-9999,13,-479
-327295.408647,-979603.136944,19,-80.515,-161.525,581,-9999,135,-638
-218930.353072,-982118.961194,19,-80.75833,-167.4333,446,-9999,78,-461
-317936.395302,-1087257.67974,19,-79.60167,-163.7,320,-9999,133,-403
-337783.505082,-1013135.30364,19,-80.19389,-161.5614,615,-9999,152,-685
-3082.82109342,-870965.976395,19,-81.99639,-179.7972,408,-9999,129,-477
169492.402956,-870607.95841,19,-81.85,168.9833,368,-9999,539,-852
-51363.6692529,-985573.509486,19,-80.935,-177.0167,345,-9999,364,-657
108155.597386,-984877.271442,19,-80.89944,173.7331,307,-9999,432,-691
-55326.0492144,-1023683.75639,19,-80.585,-176.9064,370,-9999,315,-631
67180.4866549,-1038866.55678,19,-80.44,176.3,360,-9999,450,-756
-104954.707282,-1086676.31584,19,-79.97667,-174.4833,379,-9999,210,-533
949.400561462,-1094499.6297,19,-79.95139,179.9503,382,-9999,360,-685
159438.085718,-1084545.35583,19,-79.93584,171.6369,395,-9999,233,-570
107998.078481,-1143736.08209,19,-79.45528,174.6058,341,-9999,232,-521
-316755.706913,-1200263.20586,19,-78.61111,-165.2164,336,-9999,181,-466
-159585.568173,-1198335.50838,19,-78.90694,-172.4144,336,-9999,153,-438
56794.5646219,-1198281.03571,19,-78.99167,177.2864,325,-9999,411,-686
-162545.22318,-1252059.2792,19,-78.41778,-172.6031,303,-9999,188,-445
3622.75140199,-1255703.50676,19,-78.48028,179.8347,302,-9999,519,-774
163967.046095,-1251597.21809,19,-78.42028,172.5364,353,-9999,551,-841
